6.2L 2-VALVE SOHC EFI NA V8 FLEX-FUEL  (STD)
Ecoboost 3.5L V6
Electric
Gas I3 1.2L/
Gas I3 1.3L/
Gas I4 1.4L/
Gas I4 1.4L/85
Gas I4 1.6L
Gas I4 1.8L/110
Gas I4 2.0L/121
Gas I4 2.0L/122
Gas I4 2.4/145
Gas I4 2.4L/144
Gas I4 2.5L/
Gas I4 2.5L/150
Gas V6 3.3L/201
Gas V6 3.5L/
Gas V6 3.6L/
Gas V6 3.6L/217
Gas V6 3.6L/222
Gas V6 3.6L/222.6
Gas V6 4.3L/262
Gas V8 5.3L/
Gas V8 5.3L/325
Gas V8 6.2L/
Gas V8 6.2L/376
Gas V8 6.6L/400
Gas/Electric I-4 1.5 L/91
Gas/Electric I-4 1.6 L/96
Gas/Electric I-4 1.8 L/110
Gas/Electric I-4 2.0 L/121
Gas/Electric I-4 2.0 L/122
Gas/Electric I-4 2.5 L/152
Gas/Electric I4 1.5L/91
Gas/Electric V-6 3.6 L/220
Gas/Electric V-8 5.7 L/345
Gas/Ethanol I4 2.4L/145
Gas/Ethanol V6 3.6L/217
Gas/Ethanol V6 3.6L/222
Gas/Ethanol V6 4.3L/262
Gas/Ethanol V8 5.3L/325
Gas/Ethanol V8 6.0L/
Gas/Ethanol V8 6.0L/366
Intercooled Supercharger Premium Unleaded V-6 3.0 L/183
Intercooled Supercharger Premium Unleaded V-8 5.0 L/305
Intercooled Turbo Diesel I-6 6.7 L/408
Intercooled Turbo Diesel V-6 3.0 L/182
Intercooled Turbo Diesel V-6 3.0 L/183
Intercooled Turbo Diesel V-8 6.7 L/406
Intercooled Turbo Gas/Electric I-4 1.3 L/81
Intercooled Turbo Gas/Electric I-4 1.6 L/98
Intercooled Turbo Gas/Electric I-4 2.0 L/120
Intercooled Turbo Gas/Electric I-4 2.0 L/121
Intercooled Turbo Gas/Electric I-4 2.0 L/122
Intercooled Turbo Gas/Electric I-6 3.0 L/183
Intercooled Turbo Gas/Electric I-6 3.3 L/200
Intercooled Turbo Gas/Electric V-6 3.0 L/183
Intercooled Turbo Premium Unleaded H-4 2.0 L/122
Intercooled Turbo Premium Unleaded H-4 2.5 L/150
Intercooled Turbo Premium Unleaded I-3 1.5 L/91
Intercooled Turbo Premium Unleaded I-4 1.4 L/83
Intercooled Turbo Premium Unleaded I-4 1.5 L/91
Intercooled Turbo Premium Unleaded I-4 1.8 L/110
Intercooled Turbo Premium Unleaded I-4 2.0 L/120
Intercooled Turbo Premium Unleaded I-4 2.0 L/121
Intercooled Turbo Premium Unleaded I-4 2.0 L/122
Intercooled Turbo Premium Unleaded I-4 2.3 L/140
Intercooled Turbo Premium Unleaded I-4 2.5 L/152
Intercooled Turbo Premium Unleaded I-6 3.0 L/182
Intercooled Turbo Premium Unleaded I-6 3.0 L/183
Intercooled Turbo Premium Unleaded V-6 3.0 L/183
Intercooled Turbo Regular Unleaded H-4 2.4 L/146
Intercooled Turbo Regular Unleaded I-3 1.0 L/61
Intercooled Turbo Regular Unleaded I-3 1.5 L/91
Intercooled Turbo Regular Unleaded I-4 1.4 L/85
Intercooled Turbo Regular Unleaded I-4 1.5 L/91
Intercooled Turbo Regular Unleaded I-4 1.5 L/92
Intercooled Turbo Regular Unleaded I-4 1.6 L/97
Intercooled Turbo Regular Unleaded I-4 1.6 L/98
Intercooled Turbo Regular Unleaded I-4 1.8 L/110
Intercooled Turbo Regular Unleaded I-4 2.0 L/120
Intercooled Turbo Regular Unleaded I-4 2.0 L/121
Intercooled Turbo Regular Unleaded I-4 2.0 L/122
Intercooled Turbo Regular Unleaded I-4 2.3 L/140
Intercooled Turbo Regular Unleaded I-4 2.5 L/152
PowerBoost Full-Hybrid V6 3.5 L
Premium Unleaded H-4 2.0 L/122
Premium Unleaded H-4 2.4 L/146
Premium Unleaded I-4 1.6 L/98
Premium Unleaded I-4 2.0 L/122
Premium Unleaded I-4 2.4 L/144
Premium Unleaded V-6 3.5 L/211
Premium Unleaded V-6 3.5 L/212
Premium Unleaded V-6 3.5 L/213
Premium Unleaded V-6 3.7 L/226
Premium Unleaded V-6 3.7 L/227
Premium Unleaded V-8 4.6 L/281
Premium Unleaded V-8 4.7 L/286
Premium Unleaded V-8 5.0 L/302
Premium Unleaded V-8 5.6 L/339
Premium Unleaded V-8 5.7 L/345
Premium Unleaded V-8 6.4 L/392
Regular Unleaded 2.7 L EcoBoost
Regular Unleaded 3.5 L EcoBoost
Regular Unleaded H-4 2.0 L/122
Regular Unleaded H-4 2.5 L/152
Regular Unleaded I-3 1.2 L/73
Regular Unleaded I-4 1.5 L/91
Regular Unleaded I-4 1.6 L/97
Regular Unleaded I-4 1.6 L/98
Regular Unleaded I-4 1.8 L/110
Regular Unleaded I-4 2.0 L/121
Regular Unleaded I-4 2.0 L/122
Regular Unleaded I-4 2.4 L/144
Regular Unleaded I-4 2.5 L/152
Regular Unleaded I-4 2.7 L/164
Regular Unleaded V-6 3.2 L/198
Regular Unleaded V-6 3.3 L/204
Regular Unleaded V-6 3.5 L/211
Regular Unleaded V-6 3.5 L/212
Regular Unleaded V-6 3.5 L/213
Regular Unleaded V-6 3.6 L/220
Regular Unleaded V-6 3.7 L/227
Regular Unleaded V-6 3.7 L/228
Regular Unleaded V-6 3.8 L/231
Regular Unleaded V-6 4.0 L/241
Regular Unleaded V-8 5.6 L/339
Regular Unleaded V-8 5.7 L/345
Regular Unleaded V-8 6.4 L/392
Regular Unleaded V-8 7.3 L
Regular Unleaded V6 3.5 L EcoBoost
Regular Unleaded V8 5.0 L
Turbo Gas/Ethanol I4 1.5L/
Turbo Gas/Ethanol I4 2.0L/
Turbo/Supercharger Premium Unleaded I-4 2.0 L/120
Turbocharged Diesel I4 2.0L/120
Turbocharged Diesel I6 3.0L/183
Turbocharged Diesel V8 6.6L/403
Turbocharged Gas 4-Cyl 1.4L/
Turbocharged Gas 4-Cyl 1.4L/83
Turbocharged Gas I4 1.4L/
Turbocharged Gas I4 1.4L/83
Turbocharged Gas I4 1.4L/85
Turbocharged Gas I4 1.5L/
Turbocharged Gas I4 1.5L/91
Turbocharged Gas I4 1.5L/92
Turbocharged Gas I4 2.0L/
Turbocharged Gas I4 2.0L/122
Turbocharged Gas I4 2.7L/166
Turbocharged I4 1.4/83
Turbocharged I4 2.0L/122
Twin Turbo Gas/Electric V-6 2.9 L/177
Twin Turbo Gas/Electric V-8 4.0 L/244
Twin Turbo Premium Unleaded I-6 3.0 L/182
Twin Turbo Premium Unleaded I-6 3.0 L/183
Twin Turbo Premium Unleaded V-6 2.9 L/176
Twin Turbo Premium Unleaded V-6 3.0 L/182
Twin Turbo Premium Unleaded V-6 3.0 L/183
Twin Turbo Premium Unleaded V-6 3.3 L/204
Twin Turbo Premium Unleaded V-6 3.5 L/212
Twin Turbo Premium Unleaded V-6 3.5 L/213
Twin Turbo Premium Unleaded V-8 4.0 L/243
Twin Turbo Premium Unleaded V-8 4.0 L/244
Twin Turbo Premium Unleaded V-8 4.4 L/268
Twin Turbo Premium Unleaded V-8 4.7 L/285
Twin Turbo Regular Unleaded I-6 3.0 L/183
Twin Turbo Regular Unleaded V-6 3.5 L/213
