VIN,Type,Year,Make,Model,Body,Doors,Ext_Color_Generic,Int_Color_Generic,EngineCylinders,Transmission,Miles,SellingPrice,Engine_Block_Type,Engine_Description,Drivetrain,Fuel_Type,CityMPG,HighwayMPG,MarketClass,PassengerCapacity
FBFSDSDDLHE632ZXK,Used,2018,Land Rover,Range Rover Velar,Sport Utility,4,White,Black,4,Automatic,32452,23700,I,Intercooled Turbo Premium Unleaded I-4 2.0 L/122,4WD,Gasoline Fuel,21,27,4WD Sport Utility Vehicles,5
2FA7HM38SAA8XYDX7,New,2019,Land Rover,Range Rover Evoque,Sport Utility,4,Black,Black,4,Automatic,0,18500,I,Intercooled Turbo Premium Unleaded I-4 2.0 L/122,4WD,Gasoline Fuel,22,29,4WD Sport Utility Vehicles,5
C64HDNBJMUDBHY9KH,Used,2021,Land Rover,Range Rover Velar,Sport Utility,4,Black,Black,6,Automatic,41262,38050,I,Intercooled Turbo Gas/Electric I-6 3.0 L/183,4WD,Hybrid Fuel,20,26,4WD Sport Utility Vehicles,5
EWNEPDERH0UFEFYF9,Used,2009,Hyundai,Santa Fe,Sport Utility,4,Silver,Gray,6,Automatic,151736,3750,V,Gas V6 3.3L/201,FWD,Gasoline Fuel,17,24,2WD Sport Utility Vehicles,5
J15E3K85DR9TJL7K1,Used,2015,BMW,X6,Sport Utility,4,Gray,Gray,8,Automatic,68822,20425,V,Twin Turbo Premium Unleaded V-8 4.4 L/268,AWD,Gasoline Fuel,15,22,4WD Sport Utility Vehicles,5
2DXDDLNFY3B7GDVS1,New,2019,INFINITI,QX60,Sport Utility,4,Black,Gray,6,Variable,0,18800,V,Premium Unleaded V-6 3.5 L/213,AWD,Gasoline Fuel,19,26,4WD Sport Utility Vehicles,7
YUU1M2ZL6YWUZVWZ4,Used,2020,Honda,Civic Sedan,4dr Car,4,Gray,Gray,4,Variable,40924,18700,I,Regular Unleaded I-4 2.0 L/122,FWD,Gasoline Fuel,29,37,4-door Mid-Size Passenger Car,5
HKETTK417SWHJDBUT,Used,2019,Nissan,Murano,Sport Utility,4,Black,Gray,6,Variable,37973,17125,V,Regular Unleaded V-6 3.5 L/213,AWD,Gasoline Fuel,20,28,Mid-Size Wagon,5
BD3HTFUJH5TDAY4V2,Used,2021,Toyota,Corolla,4dr Car,4,Gray,Black,4,Variable,46056,17775,I,Regular Unleaded I-4 1.8 L/110,FWD,Gasoline Fuel,30,38,4-door Compact Passenger Car,5
C8XSXG5HV4ME1BG0B,Used,2022,Hyundai,Sonata,4dr Car,4,Blue,Black,4,Automatic,61343,20975,I,Intercooled Turbo Regular Unleaded I-4 1.6 L/98,FWD,Gasoline Fuel,27,37,4-door Large Passenger Car,5
1EHCL1TY35Z2FUNJS,New,2021,Hyundai,Tucson,Sport Utility,4,Gray,Gray,4,Automatic,0,16800,I,Regular Unleaded I-4 2.0 L/122,FWD,Gasoline Fuel,23,28,2WD Sport Utility Vehicles,5
KLG21LZBAERR2R77W,New,2017,Nissan,Rogue,Sport Utility,4,Gray,Gray,4,Variable,0,10550,I,Regular Unleaded I-4 2.5 L/152,AWD,Gasoline Fuel,25,32,4WD Sport Utility Vehicles,5
C2HHJ6W6CE61JG38U,Used,2016,Chevrolet,Volt,4dr Car,4,White,Black,4,Automatic,51898,11663,I,Gas/Electric I4 1.5L/91,FWD,Hybrid Fuel,43,42,4-door Compact Passenger Car,5
C6UCM0EL33ZSXPGD6,Used,2018,Mercedes-Benz,C-Class,4dr Car,4,White,Black,4,Automatic,63048,16275,I,Intercooled Turbo Premium Unleaded I-4 2.0 L/121,RWD,Gasoline Fuel,24,33,4-door Compact Passenger Car,5
Y60XADYMM0YHMGFHJ,New,2021,Nissan,Versa,4dr Car,4,Blue,Gray,4,Variable,0,13575,I,Regular Unleaded I-4 1.6 L/98,FWD,Gasoline Fuel,32,40,4-door Compact Passenger Car,5
KDFULETYCSABG4C8L,Used,2018,Honda,Accord Sedan,4dr Car,4,White,Black,4,Variable,101567,12325,I,Intercooled Turbo Regular Unleaded I-4 1.5 L/91,FWD,Gasoline Fuel,29,35,4-door Large Passenger Car,5
DWXPP7KEM1Z5YML39,Used,2024,Honda,Accord Hybrid,4dr Car,4,Silver,Black,4,Variable,11202,29950,I,Gas/Electric I-4 2.0 L/122,FWD,Hybrid Fuel,46,41,4-door Large Passenger Car,5
FRNXP0PHP63G05Y8E,Used,2020,Nissan,LEAF,Hatchback,4,Black,Black,,Automatic,65928,11325,I,Electric,FWD,Electric Fuel System,114,94,4-door Mid-Size Passenger Car,5
