Type,VIN,Year,Make,Body,Doors,Int_Color_Generic,Transmission,Miles,SellingPrice,BookValue,Ext_Color_Generic,Drivetrain,Fuel_Type,CityMPG,HighwayMPG,PassengerCapacity
Used,FBFSDSDDLHE632ZXK,2018,Land Rover,Sport Utility,4,Black,Automatic,32452,0,23700,White,4WD,Gasoline Fuel,21,27,5
New,2FA7HM38SAA8XYDX7,2019,Land Rover,Sport Utility,4,Black,Automatic,0,0,18500,Black,4WD,Gasoline Fuel,22,29,5
Used,C64HDNBJMUDBHY9KH,2021,Land Rover,Sport Utility,4,Black,Automatic,41262,0,38050,Black,4WD,Hybrid Fuel,20,26,5
Used,EWNEPDERH0UFEFYF9,2009,Hyundai,Sport Utility,4,Gray,Automatic,151736,0,3750,Silver,FWD,Gasoline Fuel,17,24,5
Used,J15E3K85DR9TJL7K1,2015,BMW,Sport Utility,4,Brown,Automatic,68822,0,20425,Brown,AWD,Gasoline Fuel,15,22,5
New,2DXDDLNFY3B7GDVS1,2019,INFINITI,Sport Utility,4,Gray,Variable,0,0,18800,Black,AWD,Gasoline Fuel,19,26,7
Used,YUU1M2ZL6YWUZVWZ4,2020,Honda,4dr Car,4,Gray,Variable,40924,0,18700,Gray,FWD,Gasoline Fuel,29,37,5
Used,HKETTK417SWHJDBUT,2019,Nissan,Sport Utility,4,Gray,Variable,37973,0,17125,Black,AWD,Gasoline Fuel,20,28,5
Used,BD3HTFUJH5TDAY4V2,2021,Toyota,4dr Car,4,Black,Variable,46056,0,17775,Blue,FWD,Gasoline Fuel,30,38,5
Used,C8XSXG5HV4ME1BG0B,2022,Hyundai,4dr Car,4,Black,Automatic,61343,0,20975,Blue,FWD,Gasoline Fuel,27,37,5
New,1EHCL1TY35Z2FUNJS,2021,Hyundai,Sport Utility,4,Gray,Automatic,0,0,16800,Gray,FWD,Gasoline Fuel,23,28,5
New,KLG21LZBAERR2R77W,2017,Nissan,Sport Utility,4,Gray,Variable,0,0,10550,Gray,AWD,Gasoline Fuel,25,32,5
Used,C2HHJ6W6CE61JG38U,2016,Chevrolet,4dr Car,4,Black,Automatic,51898,0,11663,White,FWD,Hybrid Fuel,43,42,5
Used,C6UCM0EL33ZSXPGD6,2018,Mercedes-Benz,4dr Car,4,Black,Automatic,63048,0,16275,White,RWD,Gasoline Fuel,24,33,5
New,Y60XADYMM0YHMGFHJ,2021,Nissan,4dr Car,4,Gray,Variable,0,0,13575,Blue,FWD,Gasoline Fuel,32,40,5
Used,KDFULETYCSABG4C8L,2018,Honda,4dr Car,4,Black,Variable,101567,0,12325,White,FWD,Gasoline Fuel,29,35,5
Used,DWXPP7KEM1Z5YML39,2024,Honda,4dr Car,4,Black,Variable,11202,0,29950,Silver,FWD,Hybrid Fuel,46,41,5
Used,FRNXP0PHP63G05Y8E,2020,Nissan,Hatchback,4,Black,Automatic,65928,0,11325,Black,FWD,Electric Fuel System,114,94,5
Used,XTT5TRS788WCHDRLU,2021,Kia,4dr Car,4,Black,Variable,33270,0,14650,Blue,FWD,Gasoline Fuel,29,40,5
New,UP1DHEA5P7UCVERJ3,2018,Volkswagen,Hatchback,2,Black,Automatic,0,0,14875,Gray,FWD,Gasoline Fuel,26,33,4
New,SV760F3HX05K1FB9T,2018,Kia,4dr Car,4,Tan,Automatic,0,0,9675,Black,FWD,Gasoline Fuel,25,36,5
New,WA2RV9PNKCBKCZ1J4,2018,Alfa Romeo,4dr Car,4,Black,Automatic,0,0,15000,Red,RWD,Gasoline Fuel,24,33,5
Used,37WYN34U5B6M996F9,2019,Alfa Romeo,4dr Car,4,Black,Automatic,28430,0,20725,Red,RWD,Gasoline Fuel,24,33,5
Used,ETKBGS1692YLN3YN7,2021,Ford,Convertible,2,Black,Automatic,74016,0,20750,White,RWD,Gasoline Fuel,20,27,4
New,JFLRZU9PJP3T0AJ8M,2021,Volkswagen,Sport Utility,4,Black,Automatic,0,0,19900,Gray,FWD,Gasoline Fuel,23,29,7
Used,KV5YGWY764L8NTATR,2019,Hyundai,3dr Car,3,Gray,Automatic,80145,0,13775,White,FWD,Gasoline Fuel,28,34,4
New,F0Z7NELU84TR3H5CV,2022,Chevrolet,Crew Cab Pickup,4,Black,Automatic,0,0,30625,Blue,RWD,Gasoline Fuel,19,22,6
Used,C25KNSLTNXX3T2FU5,2022,Hyundai,4dr Car,4,Black,Variable,54972,0,17450,Black,FWD,Gasoline Fuel,31,41,5
Used,EGHCM5Y2HR6TFSXRK,2019,Chevrolet,Crew Cab Pickup,4,Black,Automatic,16230,0,24600,Gray,RWD,Gasoline Fuel,18,25,5
